root	kanji	band	gloss
liber	自由	basic	{Ｂ}自由な;独立の,束縛されない,免れた;ひまな,空いている,広々した
pan	面包	basic	{Ｂ}【料】パン,食パン;《転》糧（かて）,食糧
buter	黄油	basic	［他］バターをぬる
kruc	十字	basic	十字架の;十字形の
ekonomi	经济	basic	経済上の;経済的な
ekonomik	经济	basic	経済学的
fojn	干草	basic	［自］刈り草を乾かす
pip	烟斗	basic	{Ｂ}（喫煙用）パイプ,きせる（煙管）
roman	小说	basic	小説の
kravat	领带	basic	{Ｂ}【服】ネクタイ
ber	浆果	basic	{Ｂ}（イチゴ・ブドウなど汁気の多い）実;【植】液果
karot	胡萝卜	basic	{Ｂ}【植】ニンジン（人参）
menton	下巴	basic	下あごの
pasport	护照	basic	旅券の
stal	马棚	basic	{Ｂ}厩舎,畜舎,家畜小屋;馬小屋,うまや
viol	紫花	basic	スミレの;=violkolora（すみれ色の）
fulg	烟灰	basic	［自］すすける
oliv	橄榄	basic	{Ｂ}【果】オリーブ
ort	直角	basic	【数】直角の
uragan	暴风	basic	暴風の;《転》嵐のような,激しい
tempest	暴风	basic	{Ｂ}暴風雨;【気】暴風（風力階級11）,>>s^tormo,>>uragano
tribunal	法院	basic	{Ｂ}【法】裁判所;《転》法廷,裁きの場,>>jug^ejo
seraf	天使	pejvo	{Ｏ}【聖】セラピム;【キ】セラフィム,熾天使（してんし）（最高位の天使）
benzin	汽油	basic	{Ｂ}ガソリン;【化】ベンジン
cement	水泥	basic	［他］セメントで固める;《転》強固にする
fizik	物理	basic	物理学の,物理的な;物質的な;肉体的な
gant	手套	basic	［他］手袋をはめる
respublik	共和	basic	{Ｂ}【政】共和国;共和制
vakcin	疫苗	basic	予防接種の,ワクチンの
kemi	化学	basic	{Ｂ}化学
kret	白石	basic	白亜質の
nerv	神经	basic	神経の;=nervoza（神経質な）
pretekst	借口	basic	［他］口実にする,かこつける
proz	散文	basic	散文の;《転》散文的な,平凡な,面白味のない,>>banala,>>plata
pulv	火药	basic	{Ｂ}火薬
tropik	热带	basic	回帰線の;熱帯の
balbut	结巴	basic	{Ｂ}［自］どもる
cign	天鹅	basic	{Ｂ}【鳥】ハクチョウ（白鳥）;《転》詩聖
piknik	野餐	basic	［自］野外で食事する
matematik	数学	basic	数学の,数学的な
minimum	最小	basic	最小の,最少の,最低の
palpebr	目皮	basic	{Ｂ}まぶた;【解】眼瞼（がんけん）;《転》目
palt	大衣	basic	{Ｂ}【服】オーバー,外套（がいとう）,防寒コート,>>surtuto
pantofl	拖鞋	basic	{Ｂ}スリッパ,室内ばき,>>babus^o
pap	教皇	basic	教皇の,法王の
pensi	养老	basic	［他］年金を支給する
rafan	萝卜	basic	{Ｂ}【植】ダイコン（大根）（種）;【植】ダイコン（属）
rap	萝卜	pejvo	{Ｏ}【植】カブ,カブラ（蕪）（種）
uniform	制服	basic	制服の,そろいの
livre	制服	pejvo	{Ｏ}（従僕などの）仕着せ,そろいの服,制服
aven	燕麦	basic	{Ｂ}【植】カラスムギ（烏麦）（属）;【植】エンバク（燕麦）,オートムギ
bet	甜菜	basic	{Ｂ}【植】ビート,テンサイ（甜菜）,サトウダイコン（砂糖大根）
bifstek	牛排	basic	{Ｂ}【料】ビーフステーキ,>>sanga,>>mezrostita,>>trarostita
dot	嫁妆	basic	持参金の
gramatik	语法	basic	文法上の
helikopter	直升机	basic	{Ｂ}【空】ヘリコプター,>>au^togiro
jubile	庆典	basic	記念祭の
kirurg	外科	basic	{Ｂ}外科医
kirurgi	外科	basic	{Ｂ}【医】外科学,外科
klimat	气候	basic	{Ｂ}気候;風土
lili	百合	basic	{Ｂ}【植】ユリ（属）（百合）
maiz	玉米	basic	{Ｂ}【植】トウモロコシ（種）;トウモロコシの実
palat	口顶	basic	口蓋の
fajenc	陶土	basic	{Ｂ}陶土;=fajencaj^o
fasad	正面	basic	{Ｂ}【建】（建物の）正面,ファサード;【情】ユーザーインターフェース,>>interfaco
fe	妖精	basic	妖精の;《転》夢のように美しい
fig	无花果	basic	{Ｂ}【果】イチジク
fluid	流体	basic	流体の;流動性のある
fontan	喷泉	basic	{Ｂ}噴水;噴水装置
fotel	扶椅	basic	{Ｂ}肘掛け椅子,=brakseg^o
frak	燕尾	basic	{Ｂ}【服】燕尾服（えんびふく）
funel	漏斗	basic	{Ｂ}じょうご,ろうと（漏斗）;漏斗形のもの
gelaten	明胶	basic	{Ｂ}【化】ゼラチン
girland	花环	basic	［他］花飾りで飾る,花飾りに編む
feston	花环	pejvo	［他］花綱で飾る;【服】スカラップをつける
grip	流感	basic	{Ｂ}【病】インフルエンザ
gudr	焦油	basic	［他］タールを塗る
hangar	棚库	basic	{Ｂ}【空】格納庫;納屋,上屋,倉庫
hektar	公顷	basic	{Ｂ}【単】ヘクタール,=cent aroj
instanc	审级	basic	{Ｂ}裁決機関,当局,官公庁;【法】審級
interpelaci	质询	basic	{Ｂ}［他］【政】（議会で大臣に）質問する,説明を求める
invalid	残疾	basic	{Ｂ}廃疾者,（傷病による）就労不能者
