"Esperanto","Japanese_Trans","Chinese_Trans","Unified_Level"
"aviad/ilo","{Ｂ}航空機, 飛行機","飞机","8"
"brak/umi","{Ｂ}［他］抱擁する, 抱きしめる","拥抱，抱","8"
"daŭr/igi","{Ｂ}［他］続けさせる, 継続する","使继续，使持续","7"
"de/pendi","{Ｂ}［自］依存する, 頼る; 次第である","依赖，依靠；取决于；从属于","8"
"de/teni (sin)","{Ｂ}［自］控える, 我慢する","克制，忍住，抑制（自己）","9"
"dev/ont/igi","{Ｂ}［他］義務を負わせる","使负有义务，使承担责任；约束","9"
"dio,Dio","{Ｂ}【宗】神（唯一神）","神，上帝","4"
"el/doni","{Ｂ}［他］出版する, 発行する; 引き渡す","出版，发行；交出，交付","9"
"el/turn/iĝi","{Ｂ}［自］うまく切り抜ける, 言い逃れる","设法摆脱，设法脱身","8"
"est/igi","{Ｂ}［他］生じさせる, 引き起こす","使产生，使发生","9"
"for/esti","{Ｂ}［自］不在である, 欠席している","缺席，不在","9"
"gust/umi","{Ｂ}［他］味わう, 味見する","品味，品尝；领略，欣赏，享受","9"
"hav/igi","{Ｂ}［他］入手させる, 得させる","使获得，使得到，使具有","9"
"ia/foj/e","{Ｂ}［副］時々; かつて","有时，偶尔；曾经","9"
"kalkan/umo","{Ｂ}（靴の）かかと","鞋后跟","9"
"kiom/a","{Ｂ}［疑問形容詞］第何の, 何番目の","第几的，第几个的，排第几的","9"
"kol/umo","{Ｂ}襟（えり）, カラー","衣领","8"
"komun/umo","{Ｂ}共同体, 自治体","共同体；地方自治团体","9"
"mal/varm/umo","{Ｂ}風邪","伤风，感冒","8"
"mastr/umi","{Ｂ}［他］管理する（使いこなす）, 切り盛りする","管理，掌管，操持","8"
"mir/inda","{Ｂ}驚くべき, 素晴らしい","值得惊奇的，不可思议的；奇妙的","9"
"pa/njo","{Ｂ}ママ, かあちゃん","妈妈，妈咪","8"
"pa/ĉjo","{Ｂ}パパ, とうちゃん","爸爸，老爸","8"
"pland/umo","{Ｂ}靴底","鞋底","9"
"plen/aĝa","{Ｂ}成年の","成年，达法定年龄的","9"
"plen/umi","{Ｂ}［他］果たす, 遂行する","完成，执行，履行","8"
"pli/igi","{Ｂ}［他］増やす","使增加，使增多","9"
"proksim/uma","{Ｂ}おおよその, 近似の","差不多的，大约的，近似的","7"
"re/formi","{Ｂ}［他］改革する, 改良する","改革，改造，改良","9"
"rekt/angulo","{Ｂ}長方形","长方形","9"
"sci/vola","{Ｂ}知りたがりの, 好奇心の強い","好奇的；好打听的","7"
"sin/dona","{Ｂ}献身的な","献身的，忘我","9"
"sin/garda","{Ｂ}慎重な, 用心深い","小心，谨慎，慎重","9"
"sin/teno","{Ｂ}態度, 姿勢","态度，立场，举止","9"
"ter/pomo","{Ｂ}【植】ジャガイモ（馬鈴薯）","马铃薯","7"
"tri/angulo","{Ｂ}三角形","三角（形）","8"
"ĉar/umo","{Ｂ}手押し車","手推车","9"
"ĉe/esti","{Ｂ}［自］出席している","出席，在场","9"
