Esperanto,Japanese_Trans,Chinese_Trans,Unified_Level
-a,{Ｂ}［形容詞語尾］,[词尾] 形容词词尾，表示“…的”,1.77
-ant-,{Ｂ}［分詞接尾辞］（能動・継続）,主动现在分词（进行体）,1.77
-as,{Ｂ}［動詞語尾］（直説法現在形）,[词尾]直陈式现在时,1.77
-at-,{Ｂ}［分詞接尾辞］（受動・継続）,被动现在分词（进行体）,1.77
-aĉ-,"{Ｂ}［接尾辞］（粗悪・下品を示す）, >>dom〜o, >>knab〜o",[后缀]表示劣质、粗鄙、令人厌恶,7.33
-e,{Ｂ}［副詞語尾］,[词尾]副词,1.77
-eg-,"{Ｂ}［接尾辞］（強大を示す）, >>arb〜o, >>varm〜a",表示“大、强烈（增大义）”的后缀,1.77
-end-,"{Ｂ}［接尾辞］（必須・受動的義務を示す）, >>far〜a, >>pag〜a",[后缀] 表示应当被…、必须被…,7.33
-er-,"{Ｂ}［接尾辞］（構成粒子・要素を示す）, >>fajr〜o, >>mon〜o",[后缀] 表示构成单位、颗粒、碎片,7.33
-et-,"{Ｂ}［接尾辞］（弱小を示す）, >>lag〜o, >>varm〜a",表示“小、弱（缩小义）”的后缀,1.77
-i,{Ｂ}［動詞語尾］（不定法を示す）,[词尾]动词不定式,1.77
-ing-,"{Ｂ}［接尾辞］（ものを差し込んで使う道具を示す）, >>kandel〜o, >>glav〜o",[后缀] 表示可插入物体的器具、套筒或柄座,7.33
-int-,{Ｂ}［分詞接尾辞］（能動・完了）,主动过去分词（完成体）,1.77
-is,{Ｂ}［動詞語尾］（直説法過去形）,[词尾]直陈式过去时,1.77
-it-,{Ｂ}［分詞接尾辞］（受動・完了）,被动过去分词（完成体）,1.77
-j,{Ｂ}［複数語尾］,[词尾]复数,1.77
-n,{Ｂ}［対格語尾］,[词尾]宾格,1.77
-nj-,"{Ｂ}［接尾辞］（女子の愛称を示す）, >>pa〜o",构成对女子的爱称,7.33
-o,{Ｂ}［名詞語尾］,[词尾]名词,1.77
-ont-,{Ｂ}［分詞接尾辞］（能動・将然）,主动将来分词（表将要）,1.77
-op-,"{Ｂ}［接尾辞］（集合を示す）, >>〜e",构成集合数,7.33
-os,{Ｂ}［動詞語尾］（未来形）,[词尾]直陈式将来时,1.77
-ot-,{Ｂ}［分詞接尾辞］（受動・将然）,被动将来分词（表将要）,1.77
-u,{Ｂ}［動詞語尾］（意志法を示す）,[词尾]动词意志式（含命令、祈愿、劝诱等）,1.77
-um-,"{Ｂ}［接尾辞］（特定の意味を持たない）, >>gust〜i, >>man〜o",[后缀]意义不固定，需逐词记忆,1.77
-us,{Ｂ}［動詞語尾］（条件法を示す）,[词尾]动词条件式（条件法）,1.77
-ĉj-,"{Ｂ}［接尾辞］（男子の愛称を示す）, >>Vil〜o, >>pa〜o",构成对男子的爱称,7.33
Afriko,{Ｂ}【地名】アフリカ,非洲,7.33
Ameriko,{Ｂ}【地名】アメリカ（大陸）,美洲,7.33
Atlantiko,"{Ｂ}【地名】大西洋, =〜a Oceano",大西洋,8.9
Azio,{Ｂ}【地名】アジア,亚洲,7.33
Aŭstralio,{Ｂ}【国名】オーストラリア（大洋州）,澳大利亚,8.9
Esperanto,{Ｂ}国際補助語（1887年にザメンホフが発表した人工言語）,世界语,6.83
Eŭropo,{Ｂ}【地名】ヨーロッパ,欧洲,7.33
Mediteraneo,{Ｂ}【地名】地中海（ヨーロッパ南）,地中海,8.9
Pacifiko,"{Ｂ}【地名】太平洋, =〜a Oceano",太平洋,8.9
abelo,"{Ｂ}【虫】ミツバチ（蜜蜂）（属）; 《般》（小型の）ハチ（蜂）, >>〜",蜜蜂；（泛）小型蜂类,8.4
aboni,"{Ｂ}［他］（一定期間・継続的に）予約する, 購読する, >>〜, >>antaŭmendi",预付订阅，定期预订,6.83
absoluta,"{Ｂ}絶対の, 無条件の, 完全な, 全くの, >>senkondiĉa, >>〜",绝对的，无条件的，完全的,7.33
absurda,"{Ｂ}非常識な, 不合理な; ばかげた, ばかばかしい; 【哲】不条理な",荒谬，不合逻辑；（哲）荒诞的,8.9
abunda,"{Ｂ}有り余るほどの, 豊富な, >>〜",丰富的，充足的，大量的,7.9
adapti,"{Ｂ}［他］適合させる, 適応させる, 合わせる; （劇や映画用に）脚色する",使适应，使适合；改编,8.9
adiaŭ,{Ｂ}［間］さようなら,再见，告别,6.33
adicii,"{Ｂ}［他］【数】加える, 足し算する, >>aldoni",[数学]相加；做加法,8.4
adjektivo,{Ｂ}【Ｇ】形容詞,形容词,8.4
administri,"{Ｂ}［他］管理する, 経営する, 運営する; （～の）行政をつかさどる",管理，经营，运营；主管行政,8.4
admiri,"{Ｂ}［他］感嘆する, 賛美する; 敬服する, 感心する",赞赏，赞美；钦佩，敬服,6.83
admoni,"{Ｂ}［他］言い聞かせる, 勧告する, 強く勧める; 戒める, 訓戒する, 説諭する, 叱責する",劝告，告诫，规劝；训诫，申斥,8.4
adopti,"{Ｂ}［他］養子にする; 《転》（自分の考え・行動に）取り入れる, 採用する",收养，过继；采纳，采用,8.4
adori,"{Ｂ}［他］【宗】礼拝する, 崇拝する, あがめる; 《転》敬慕する, あこがれる; 《転》大好きである",崇拜，崇敬；酷好，醉心于…,8.9
adreso,{Ｂ}住所; あて名; 【情】アドレス（メモリの番地）,地址；收件人姓名和地址；（计算机）地址（如内存地址）,5.33
adverbo,"{Ｂ}【Ｇ】副詞, >>e-vorto",副词,8.9
advokato,"{Ｂ}弁護士, 弁護人; 《転》代弁者",律师，辩护人；（转）代言人，拥护者,8.4
aero,"{Ｂ}空気, 外気, 大気; 空, 空中",空气，大气；空中，天空,3.27
afabla,"{Ｂ}愛想のよい, 親切な; ものやわらかな, ていねいな; 【情】使いやすい, ユーザーフレンドリーな",和蔼的，亲切的，温和有礼的；（信息）用户友好的,4.33
afero,"{Ｂ}物事（ものごと）, 事, 事柄, 事項; 用件, 用事, 問題; 事件, 出来事; 事業, 業務; 【法】訴訟事件; 【商】取引, >>negoco",事情，事务，案件；（法）诉讼事件；（商）交易,2.27
afiŝo,"{Ｂ}ポスター, 貼り紙, 掲示物; プラカード; 【情】（メーリングリストや電子掲示板などの）投稿記事, 掲示",海报，招贴，告示；（网络）帖子,8.4
aflikti,"{Ｂ}［他］深く悲しませる, 苦しませる, 悩ませる",使痛苦，使忧伤，使苦恼,8.9
afranki,"{Ｂ}［他］切手を貼る, 郵便料金を払う",预付邮费，贴邮票,8.4
agi,"{Ｂ}［自］行動する, ふるまう; 【理】作用する",行动，行事；起作用,3.77
agrabla,"{Ｂ}快い, 心地よい, 気持ちのよい",令人愉快的,3.27
ajlo,"{Ｂ}【植】ニンニク（大蒜）; 《般》にんにく（球根）, =〜bulbo",大蒜；蒜头，蒜瓣,8.9
ajn,{Ｂ}［副］～であっても（無差別を示す）,无论，不管；任何,1.77
akademio,"{Ｂ}学士院, アカデミー",学院，研究院,8.9
akceli,"{Ｂ}［他］加速する, 促進する, >>plirapidigi",加速，促进,8.4
akcento,{Ｂ}【Ｇ】【楽】アクセント; 《転》強調,重音，重读；口音；（转）强调，重点,8.9
akcepti,"{Ｂ}［他］受入れる, 受理する; 迎え入れる; 容認する",接受，受理；迎接；容许，认可,3.27
akcidento,"{Ｂ}事故, 災難",事故，意外灾害,6.33
akiri,"{Ｂ}［他］手に入れる, 獲得する, 習得する, >>〜",获得，得到,5.83
akompani,{Ｂ}［他］同行する; 【楽】伴奏する,陪同，伴随；（乐）伴奏,5.83
akordo,"{Ｂ}一致, 調和; 【楽】和音",融洽，协调，一致，和弦,8.9
akra,{Ｂ}鋭い; （味・音などが）刺激の強い; 厳しい,锋利，尖锐；刺激性强；严厉,5.83
aktiva,"{Ｂ}活動的な, 活発な, 積極的な; 活動中の, 現役の; 【Ｇ】能動の",活动的，积极的；现役的；（语）能动的,7.33
akto,{Ｂ}【劇】幕; 公式行為・決定; 【法】証書,（戏剧）幕；正式行为、决定；（法）证书，文书,8.9
aktoro,{Ｂ}俳優,演员,7.33
aktuala,"{Ｂ}現行の, 当面の, 今日的な",当前的，现行的；时事性的,8.9
akurata,"{Ｂ}時間・期限を正確に守る, 期日どおりの",准时的，按时履行的,8.4
