判定	根拠	層A	語A	層B	語B	面
同義(無害)	同一形態素の別見出し	CSV2890	-ac^-	PEJVO	ac^a	劣
同義(無害)	同一形態素の別見出し	CSV2890	-ad-	PEJVO	ade	行
同義(無害)	同一形態素の別見出し	CSV2890	formo	PEJVO	-forma	形
同義(無害)	同一形態素の別見出し	CSV2890	-ig^-	PEJVO	ig^i	成
同義(無害)	同一形態素の別見出し	PIV	miceto	PIV	-micet	菌ᴹᶜ
同義(無害)	同一形態素の別見出し	CSV2890	-aj^-	PEJVO	aj^o	物
同義(無害)	同一形態素の別見出し	CSV2890	g^is	PEJVO	g^is-	至
同義(無害)	同一形態素の別見出し	CSV2890	-ig-	PEJVO	igi	使
同義(無害)	同一形態素の別見出し	CSV2890	-ec-	PEJVO	eca	性
同義(無害)	同一形態素の別見出し	CSV2890	-an-	PEJVO	ano	员
同義(無害)	同一形態素の別見出し	CSV2890	-uj-	PEJVO	ujo	器
同義(無害)	同一形態素の別見出し	CSV2890	post	PEJVO	post-	后
同義(無害)	同一形態素の別見出し	PEJVO	tut-	CSV2890	tuta	整
同義(無害)	相互参照(=/>>)	PEJVO	asterio	PEJVO	marstelo	海星
同義(無害)	同一形態素の別見出し	CSV2890	-ot-	PIV	ote	待
同義(無害)	同一形態素の別見出し	CSV2890	-id-	PEJVO	ido	子
同義(無害)	訳語が重複	PEJVO	au^tonomeco	PEJVO	memregeco	自治性
同義(無害)	相互参照(=/>>)	PEJVO	bestkuraca	PEJVO	veterinara	兽医
同義(無害)	同一形態素の別見出し	PEJVO	-skop-	PIV	skopo	镜ˢᴷ
同義(無害)	同一形態素の別見出し	PEJVO	gena	PIV	-gen	生ᴳ
同義(無害)	同一形態素の別見出し	CSV2890	re-	PEJVO	rea	再
同義(無害)	同一形態素の別見出し	PEJVO	bo	CSV2890	bo-	姻
同義(無害)	同一形態素の別見出し	PIV	fito	PIV	-fit	植ᶠ
同義(無害)	訳語が重複	PEJVO	brustosto	PEJVO	sternumo	胸骨
同義(無害)	相互参照(=/>>)	PEJVO	imperialismo	PEJVO	imperiismo	帝主义
同義(無害)	同一形態素の別見出し	CSV2890	-eg-	PEJVO	ega	巨
同義(無害)	同一形態素の別見出し	CSV2890	pro	PEJVO	pro-	因ᴾ
同義(無害)	同一形態素の別見出し	CSV2890	c^ef-	PEJVO	c^efa	首
同義(無害)	相互参照(=/>>)	PEJVO	c^evalkas^tano	PEJVO	hipokas^tano	马栗
同義(無害)	訳語が重複	PEJVO	hipokas^tano	PIV	hipokastano	马栗
同義(無害)	同一形態素の別見出し	CSV2890	-on-	PEJVO	ono	分
同義(無害)	相互参照(=/>>)	PEJVO	dekduedro	PIV	dodekaedro	十二面ᴱ
同義(無害)	同一形態素の別見出し	CSV2890	dis-	PEJVO	disa	散
同義(無害)	同一形態素の別見出し	CSV2890	ge-	PEJVO	gea	双
同義(無害)	同一形態素の別見出し	PEJVO	duon-	PEJVO	duona	二分
同義(無害)	同一形態素の別見出し	CSV2890	-ebl-	PEJVO	ebla	可
同義(無害)	相互参照(=/>>)	PEJVO	egalpotenciala	PIV	ekvipotenciala	等势
同義(無害)	同一形態素の別見出し	CSV2890	-ej-	PEJVO	ejo	所
同義(無害)	同一形態素の別見出し	PEJVO	ek	CSV2890	ek-	始
同義(無害)	同一形態素の別見出し	CSV2890	eks-	PEJVO	eksa	旧
同義(無害)	訳語が重複	PEJVO	ekskorii	PEJVO	frotvundi	擦伤
同義(無害)	同一形態素の別見出し	CSV2890	el	PEJVO	el-	出
同義(無害)	同一形態素の別見出し	CSV2890	krom	PEJVO	krom-	外
同義(無害)	同一形態素の別見出し	CSV2890	-em-	PEJVO	ema	倾
同義(無害)	同一形態素の別見出し	CSV2890	en	PEJVO	en-	内
同義(無害)	同一形態素の別見出し	CSV2890	en	PIV	-en	内
同義(無害)	同一形態素の別見出し	PEJVO	en-	PIV	-en	内
同義(無害)	同一形態素の別見出し	CSV2890	-end-	PEJVO	endi	须
同義(無害)	同一形態素の別見出し	PEJVO	-pov-	CSV2890	povi	能
同義(無害)	同一形態素の別見出し	CSV2890	-estr-	PEJVO	estri	长ᴱ
同義(無害)	同一形態素の別見出し	CSV2890	-et-	PEJVO	eta	小
同義(無害)	同一形態素の別見出し	PIV	somo	PIV	-som	体ˢᴹ
同義(無害)	同一形態素の別見出し	CSV2890	fi	PEJVO	fi-	卑
同義(無害)	同一形態素の別見出し	CSV2890	-in-	PEJVO	ina	女
同義(無害)	相互参照(=/>>)	CSV2890	fontano	PEJVO	s^prucfonto	喷泉
同義(無害)	同一形態素の別見出し	CSV2890	for	PEJVO	for-	离
同義(無害)	同一形態素の別見出し	PEJVO	-metri-	PIV	metrio	测ᴹᵀ
同義(無害)	訳語が重複	PEJVO	greso	PEJVO	pas^therbo	牧草
同義(無害)	同一形態素の別見出し	PEJVO	-hava	CSV2890	havi	有
同義(無害)	相互参照(=/>>)	PEJVO	hepatherbo	PEJVO	hepatiko	肝草
同義(無害)	同一形態素の別見出し	CSV2890	-il-	PEJVO	ilo	具
同義(無害)	相互参照(=/>>)	PEJVO	imperialisto	PEJVO	imperiisto	帝家
同義(無害)	同一形態素の別見出し	CSV2890	-ind-	PEJVO	inda	值
同義(無害)	同一形態素の別見出し	CSV2890	-ing-	PEJVO	ingi	座
同義(無害)	相互参照(=/>>)	PEJVO	inocenta	PEJVO	senkulpa	无罪
同義(無害)	同一形態素の別見出し	CSV2890	preter	PEJVO	preter-	过ᴾᴿ
同義(無害)	同一形態素の別見出し	CSV2890	inter	PEJVO	inter-	间
同義(無害)	同一形態素の別見出し	PEJVO	retro-	PEJVO	retroe	逆
同義(無害)	同一形態素の別見出し	CSV2890	mal-	PEJVO	mala	反
同義(無害)	同一形態素の別見出し	CSV2890	-ism-	PEJVO	ismo	主义
同義(無害)	同一形態素の別見出し	CSV2890	jaro	PEJVO	-jara	年
同義(無害)	同一形態素の別見出し	PEJVO	-jarag^a	PIV	jarag^a	年岁
同義(無害)	同一形態素の別見出し	CSV2890	kontrau^	PEJVO	kontrau^-	对
同義(無害)	同一形態素の別見出し	CSV2890	trans	PEJVO	trans-	越
同義(無害)	同一形態素の別見出し	CSV2890	kapo	PEJVO	-kapa	头
同義(無害)	相互参照(=/>>)	PEJVO	kaphau^to	PEJVO	skalpi	头皮
同義(無害)	同一形態素の別見出し	CSV2890	-op-	PEJVO	opa	组
同義(無害)	同一形態素の別見出し	CSV2890	kun	PEJVO	kun-	共
同義(無害)	同一形態素の別見出し	CSV2890	kvazau^	PEJVO	kvazau^-	如
同義(無害)	相互参照(=/>>)	PEJVO	kvinangulo	PEJVO	pentagono	五角
同義(無害)	同一形態素の別見出し	CSV2890	lau^	PEJVO	lau^-	按
同義(無害)	同一形態素の別見出し	PEJVO	mang^ado	PIV	-mang^ado	食行
同義(無害)	相互参照(=/>>)	PEJVO	marhirundo	PIV	procelario	海燕
同義(無害)	同一形態素の別見出し	CSV2890	mem	PEJVO	mem-	自
同義(無害)	同一形態素の別見出し	PEJVO	-metr-	CSV2890	metro	米
同義(無害)	同一形態素の別見出し	CSV2890	mis-	PEJVO	misa	误
同義(無害)	訳語が重複	PEJVO	multangula	PEJVO	poligono	多角
同義(無害)	訳語が重複	PEJVO	murpapero	CSV2890	tapeto	壁纸
同義(無害)	相互参照(=/>>)	PEJVO	nimbuso	PEJVO	pluvnubo	雨云
同義(無害)	相互参照(=/>>)	PEJVO	novstelo	PIV	novao	新星
同義(無害)	同一形態素の別見出し	CSV2890	-obl-	CSV2890	-obla	倍
